filename	source_url	bytes	status
rating-games_B771A2818B50DD97B6E66A1A4870E86B.sgf	https://katagotraining.org/sgf-files/rating-games/B771A2818B50DD97B6E66A1A4870E86B.sgf	8371	existing
training-games_DECB58F743D1559E817837C8F51A0250.sgf	https://katagotraining.org/sgf-files/training-games/DECB58F743D1559E817837C8F51A0250.sgf	16604	existing
training-games_8C500E77C25B5D1E513C0A04300BB469.sgf	https://katagotraining.org/sgf-files/training-games/8C500E77C25B5D1E513C0A04300BB469.sgf	16397	existing
rating-games_754592E3BD91683CB3414B3818B98DEF.sgf	https://katagotraining.org/sgf-files/rating-games/754592E3BD91683CB3414B3818B98DEF.sgf	7088	existing
training-games_B12C20A568439F67983C7B2CC83AFCEB.sgf	https://katagotraining.org/sgf-files/training-games/B12C20A568439F67983C7B2CC83AFCEB.sgf	13942	existing
rating-games_43EC1FF61FB6CF4E6E71C323DA42D7E1.sgf	https://katagotraining.org/sgf-files/rating-games/43EC1FF61FB6CF4E6E71C323DA42D7E1.sgf	8435	existing
rating-games_274F961185F80C1F9F5DF69DA333154E.sgf	https://katagotraining.org/sgf-files/rating-games/274F961185F80C1F9F5DF69DA333154E.sgf	9479	existing
rating-games_A54E8637F4CDF946F373EB3382D68398.sgf	https://katagotraining.org/sgf-files/rating-games/A54E8637F4CDF946F373EB3382D68398.sgf	7655	existing
training-games_AB4622F9CDD2EF91B5A420FF0591619C.sgf	https://katagotraining.org/sgf-files/training-games/AB4622F9CDD2EF91B5A420FF0591619C.sgf	15351	existing
training-games_55F36E1182E63FBC07D96E55F19DEBB7.sgf	https://katagotraining.org/sgf-files/training-games/55F36E1182E63FBC07D96E55F19DEBB7.sgf	14662	existing
training-games_F005D26523F5742F2700BD7273725D31.sgf	https://katagotraining.org/sgf-files/training-games/F005D26523F5742F2700BD7273725D31.sgf	15091	existing
training-games_C41DC9E5B30DE838F698A1D1593E18E7.sgf	https://katagotraining.org/sgf-files/training-games/C41DC9E5B30DE838F698A1D1593E18E7.sgf	13154	existing
rating-games_7249872DF08E5B3A164BF5F7112B2AB6.sgf	https://katagotraining.org/sgf-files/rating-games/7249872DF08E5B3A164BF5F7112B2AB6.sgf	4188	existing
rating-games_759DEF1DB76213EE2E808D16B3C72069.sgf	https://katagotraining.org/sgf-files/rating-games/759DEF1DB76213EE2E808D16B3C72069.sgf	7157	existing
rating-games_AD83E32E0CCDAB2C2AE017954E969022.sgf	https://katagotraining.org/sgf-files/rating-games/AD83E32E0CCDAB2C2AE017954E969022.sgf	5971	existing
rating-games_C9DC27248599811A50449D148CF92671.sgf	https://katagotraining.org/sgf-files/rating-games/C9DC27248599811A50449D148CF92671.sgf	6167	existing
training-games_9A5E165238A1226D91DC25A462F2776E.sgf	https://katagotraining.org/sgf-files/training-games/9A5E165238A1226D91DC25A462F2776E.sgf	13411	existing
training-games_A7B0DC5901F12E23E57580ADF28EF95E.sgf	https://katagotraining.org/sgf-files/training-games/A7B0DC5901F12E23E57580ADF28EF95E.sgf	19013	existing
rating-games_6112A0B2267092608247F1CEF5847734.sgf	https://katagotraining.org/sgf-files/rating-games/6112A0B2267092608247F1CEF5847734.sgf	6792	existing
training-games_7853EC9F7241EBB209F17787D17ADDAC.sgf	https://katagotraining.org/sgf-files/training-games/7853EC9F7241EBB209F17787D17ADDAC.sgf	14977	existing
rating-games_1FAE76A8F26E03C749E9305C2B886578.sgf	https://katagotraining.org/sgf-files/rating-games/1FAE76A8F26E03C749E9305C2B886578.sgf	6442	existing
training-games_F16DBF8FCC228872B983F3A0CCACF7CB.sgf	https://katagotraining.org/sgf-files/training-games/F16DBF8FCC228872B983F3A0CCACF7CB.sgf	7800	existing
rating-games_47EF368BA04642A0AD6AF714767DCD4A.sgf	https://katagotraining.org/sgf-files/rating-games/47EF368BA04642A0AD6AF714767DCD4A.sgf	6245	existing
